Image-name-unique,AccumbensArea,Insula,Amygdala,Caudate,Hippocampus,Pallidum,Putamen,Thalamus,FrontalLobe,ParietalLobe,TemporalLobe,OccipitalLobe,Cingulate
TypicalSubtypeStage1,0,0,0.00037,0,0.99963,0,0,0,0,0,0,0,0
TypicalSubtypeStage2,0,0,0.58548,0,1.39814,0,0,0,0,0,0.01638,0,0
TypicalSubtypeStage3,0,0,0.9927,0,1.81418,0,0,0,0,0,0.19312,0,0
TypicalSubtypeStage4,0,0,1.17465,0,1.97096,0,0,0,0,0,0.85439,0,0
TypicalSubtypeStage5,0.00095,0,1.85057,0,2.00307,0,0,0,0,0,1.14541,0,0
TypicalSubtypeStage6,0.11755,0.01178,1.99918,0,2.0698,0,0,0.00106,0.00321,0.00019,1.79658,0.00065,0
TypicalSubtypeStage7,0.46142,0.14795,2,0,2.22074,0,0,0.00504,0.04602,0.14017,1.96183,0.01623,0.0006
TypicalSubtypeStage8,0.67677,0.35175,2,0,2.33305,0,0,0.01399,0.11798,0.46811,1.99854,0.03226,0.00755
TypicalSubtypeStage9,0.79408,0.51646,2,0,2.40374,0,0.00064,0.02789,0.25157,0.9096,2.01625,0.05256,0.02721
TypicalSubtypeStage10,0.89786,0.64659,2,0,2.45747,0,0.00315,0.04353,0.43304,1.28036,2.05836,0.08933,0.09031
TypicalSubtypeStage11,1.00699,0.75803,2.0002,0,2.51308,0.00089,0.00458,0.07013,0.62298,1.57845,2.10832,0.12288,0.21347
TypicalSubtypeStage12,1.093,0.84209,2.00093,0,2.56822,0.00241,0.00663,0.11071,0.80709,1.75408,2.22202,0.17952,0.4133
TypicalSubtypeStage13,1.20482,0.91128,2.00097,0,2.61634,0.00655,0.01315,0.16782,0.95053,1.83761,2.4011,0.25188,0.63795
TypicalSubtypeStage14,1.32182,0.96608,2.00125,0,2.65472,0.01245,0.03467,0.26679,1.0683,1.88537,2.57951,0.33369,0.87535
TypicalSubtypeStage15,1.43507,1.01047,2.00394,0,2.69669,0.02365,0.06863,0.38443,1.18669,1.93244,2.7299,0.40302,1.12507
TypicalSubtypeStage16,1.56931,1.06677,2.00715,0,2.73127,0.03983,0.13998,0.50491,1.31865,1.95945,2.85251,0.46798,1.34219
TypicalSubtypeStage17,1.66867,1.13916,2.01259,0,2.78221,0.06337,0.27625,0.61941,1.46535,1.97507,2.92468,0.54683,1.52641
TypicalSubtypeStage18,1.77073,1.21919,2.02652,0,2.82693,0.10397,0.49283,0.7438,1.58852,1.98458,2.95583,0.61301,1.67409
TypicalSubtypeStage19,1.86167,1.31496,2.04835,0,2.87778,0.15534,0.75841,0.84249,1.67812,2.00142,2.97597,0.67351,1.81198
TypicalSubtypeStage20,1.97738,1.4161,2.07188,0,2.91492,0.23212,1.04056,0.92228,1.73989,2.02791,2.99023,0.73408,1.93265
TypicalSubtypeStage21,2.09887,1.50982,2.10598,0,2.94397,0.33858,1.28995,0.9951,1.80003,2.06301,2.99657,0.8023,2.05582
TypicalSubtypeStage22,2.2201,1.60058,2.15101,0,2.96931,0.47765,1.47889,1.06821,1.85609,2.11642,2.99947,0.87804,2.18423
TypicalSubtypeStage23,2.34451,1.66993,2.22334,0,2.98059,0.6343,1.61869,1.15928,1.89792,2.19739,3,0.97888,2.29517
TypicalSubtypeStage24,2.45372,1.7332,2.31224,0,2.9875,0.80634,1.71242,1.24965,1.92165,2.30285,3,1.09561,2.42482
